TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL1R,04000US50,Vermont,3,Number,"174,295","+/-1,293","2,940",+/-192,"164,070","+/-1,300","2,295",+/-215,290,+/-106,"2,590",+/-209,25,+/-23,"2,080",+/-233,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,4,Percent,50.9,+/-0.2,0.9,+/-0.1,47.9,+/-0.3,0.7,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,5,Number,"168,325","+/-1,228","2,875",+/-182,"157,385","+/-1,204","1,580",+/-191,575,+/-181,"3,285",+/-286,85,+/-48,"2,535",+/-252,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,6,Percent,49.1,+/-0.2,0.8,+/-0.1,45.9,+/-0.2,0.5,+/-0.1,0.2,+/-0.1,1,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,1,Number,"4,336,395","+/-7,610","399,935","+/-2,491","2,712,840","+/-6,141","812,180","+/-3,728","8,980",+/-564,"292,820","+/-2,348","2,395",+/-309,"107,245","+/-2,856",0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,2,Percent,100,+/-0.1,9.2,+/-0.1,62.6,+/-0.1,18.7,+/-0.1,0.2,+/-0.1,6.8,+/-0.1,0.1,+/-0.1,2.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,3,Number,"2,244,585","+/-4,212","224,955","+/-1,600","1,428,435","+/-3,559","381,180","+/-2,612","4,375",+/-410,"150,760","+/-1,688","1,225",+/-206,"53,650","+/-1,602",0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,4,Percent,51.8,+/-0.1,5.2,+/-0.1,32.9,+/-0.1,8.8,+/-0.1,0.1,+/-0.1,3.5,+/-0.1,0,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,5,Number,"2,091,805","+/-6,039","174,980","+/-1,811","1,284,405","+/-4,348","431,000","+/-2,568","4,605",+/-366,"142,060","+/-1,578","1,170",+/-234,"53,595","+/-1,980",0,"Total, all occupations"
EEOALL1R,04000US51,Virginia,6,Percent,48.2,+/-0.1,4,+/-0.1,29.6,+/-0.1,9.9,+/-0.1,0.1,+/-0.1,3.3,+/-0.1,0,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,1,Number,"3,712,185","+/-5,945","423,480","+/-2,584","2,616,730","+/-4,945","135,215","+/-2,207","34,205","+/-1,014","333,975","+/-2,669","24,255",+/-791,"144,330","+/-2,938",0,"Total, all occupations"
EEOALL1R,04000US53,Washington,2,Percent,100,+/-0.1,11.4,+/-0.1,70.5,+/-0.1,3.6,+/-0.1,0.9,+/-0.1,9,+/-0.1,0.7,+/-0.1,3.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,3,Number,"1,994,065","+/-4,351","243,035","+/-1,736","1,401,210","+/-3,509","75,750","+/-1,518","17,120",+/-654,"170,765","+/-1,873","12,600",+/-551,"73,585","+/-1,806",0,"Total, all occupations"
EEOALL1R,04000US53,Washington,4,Percent,53.7,+/-0.1,6.5,+/-0.1,37.7,+/-0.1,2,+/-0.1,0.5,+/-0.1,4.6,+/-0.1,0.3,+/-0.1,2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US53,Washington,5,Number,"1,718,125","+/-4,789","180,445","+/-1,969","1,215,520","+/-4,243","59,465","+/-1,342","17,080",+/-679,"163,210","+/-1,800","11,660",+/-581,"70,745","+/-1,886",0,"Total, all occupations"
EEOALL1R,04000US53,Washington,6,Percent,46.3,+/-0.1,4.9,+/-0.1,32.7,+/-0.1,1.6,+/-0.1,0.5,+/-0.1,4.4,+/-0.1,0.3,+/-0.1,1.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,1,Number,"796,365","+/-4,202","11,485",+/-494,"738,160","+/-4,079","28,685",+/-899,"1,230",+/-273,"7,820",+/-532,170,+/-91,"8,815",+/-791,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,2,Percent,100,+/-0.1,1.4,+/-0.1,92.7,+/-0.1,3.6,+/-0.1,0.2,+/-0.1,1,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,3,Number,"422,665","+/-2,656","6,205",+/-368,"391,355","+/-2,669","15,385",+/-671,415,+/-155,"4,265",+/-340,40,+/-33,"5,000",+/-613,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,4,Percent,53.1,+/-0.2,0.8,+/-0.1,49.1,+/-0.2,1.9,+/-0.1,0.1,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,5,Number,"373,700","+/-2,893","5,280",+/-411,"346,800","+/-2,567","13,300",+/-544,815,+/-205,"3,555",+/-343,130,+/-87,"3,820",+/-504,0,"Total, all occupations"
EEOALL1R,04000US54,West Virginia,6,Percent,46.9,+/-0.2,0.7,+/-0.1,43.5,+/-0.2,1.7,+/-0.1,0.1,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,1,Number,"3,089,330","+/-5,445","178,900","+/-1,201","2,604,955","+/-4,763","159,495","+/-1,727","21,705",+/-712,"81,810","+/-1,123","1,025",+/-261,"41,445","+/-1,387",0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,2,Percent,100,+/-0.1,5.8,+/-0.1,84.3,+/-0.1,5.2,+/-0.1,0.7,+/-0.1,2.6,+/-0.1,0,+/-0.1,1.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,3,Number,"1,607,980","+/-3,600","100,565",+/-859,"1,359,565","+/-3,172","72,485","+/-1,287","11,010",+/-478,"43,075",+/-739,515,+/-207,"20,760",+/-891,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,4,Percent,52,+/-0.1,3.3,+/-0.1,44,+/-0.1,2.3,+/-0.1,0.4,+/-0.1,1.4,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,5,Number,"1,481,355","+/-3,661","78,330",+/-954,"1,245,385","+/-3,127","87,010","+/-1,235","10,695",+/-447,"38,730",+/-812,510,+/-127,"20,685",+/-960,0,"Total, all occupations"
EEOALL1R,04000US55,Wisconsin,6,Percent,48,+/-0.1,2.5,+/-0.1,40.3,+/-0.1,2.8,+/-0.1,0.3,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,1,Number,"304,650","+/-1,872","27,075",+/-629,"261,920","+/-1,533","2,610",+/-342,"5,385",+/-411,"2,435",+/-365,350,+/-214,"4,870",+/-551,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,2,Percent,100,+/-0.1,8.9,+/-0.2,86,+/-0.3,0.9,+/-0.1,1.8,+/-0.1,0.8,+/-0.1,0.1,+/-0.1,1.6,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,3,Number,"166,795","+/-1,360","15,355",+/-458,"143,145","+/-1,107","1,650",+/-213,"2,785",+/-292,"1,025",+/-233,290,+/-203,"2,535",+/-409,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,4,Percent,54.7,+/-0.3,5,+/-0.1,47,+/-0.3,0.5,+/-0.1,0.9,+/-0.1,0.3,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,5,Number,"137,855","+/-1,241","11,715",+/-386,"118,775","+/-1,053",955,+/-267,"2,600",+/-295,"1,410",+/-257,60,+/-57,"2,335",+/-363,0,"Total, all occupations"
EEOALL1R,04000US56,Wyoming,6,Percent,45.3,+/-0.3,3.8,+/-0.1,39,+/-0.3,0.3,+/-0.1,0.9,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,1,Number,"1,238,450","+/-5,691","1,222,295","+/-5,695","11,635",+/-925,"1,450",+/-285,25,+/-22,"1,305",+/-411,10,+/-20,"1,725",+/-319,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,2,Percent,100,+/-0.1,98.7,+/-0.1,0.9,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,3,Number,"649,460","+/-4,368","639,805","+/-4,309","6,785",+/-692,940,+/-253,10,+/-13,870,+/-297,0,+/-32,"1,045",+/-241,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,4,Percent,52.4,+/-0.3,51.7,+/-0.2,0.5,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,5,Number,"588,990","+/-4,092","582,490","+/-4,085","4,855",+/-532,510,+/-132,15,+/-17,435,+/-155,10,+/-20,675,+/-192,0,"Total, all occupations"
EEOALL1R,04000US72,Puerto Rico,6,Percent,47.6,+/-0.3,47,+/-0.3,0.4,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
